CIK,Ticker,Company Name,Sector,Year,filingDate,form,AI Washing Index_flash1_5,AI Washing Index_flash2_5,AI Washing Index_gpt4o,Disclosure Sentiment_flash1_5,Disclosure Sentiment_flash2_5,Disclosure Sentiment_gpt4o,Forward-Looking_flash1_5,Forward-Looking_flash2_5,Forward-Looking_gpt4o,Key AI Terms_flash1_5,Key AI Terms_flash2_5,Key AI Terms_gpt4o,Overall Summary_flash1_5,Overall Summary_flash2_5,Overall Summary_gpt4o,Risk - External Threats_flash1_5,Risk - External Threats_flash2_5,Risk - External Threats_gpt4o,Risk - Non-Adoption_flash1_5,Risk - Non-Adoption_flash2_5,Risk - Non-Adoption_gpt4o,Risk - Own Adoption_flash1_5,Risk - Own Adoption_flash2_5,Risk - Own Adoption_gpt4o,Strategic Depth_flash1_5,Strategic Depth_flash2_5,Strategic Depth_gpt4o,Talent & Investment_flash1_5,Talent & Investment_flash2_5,Talent & Investment_gpt4o
0000003197,CECO,CECO ENVIRONMENTAL CORP,Industrials,2022,2023-03-06,10-K,E,E,E,C,E,C,D,D,D,,predictive analytic technologies,,"CECO Environmental Corp shows no explicit AI strategy or adoption in its 10-K filing.  However, the company demonstrates a strong focus on technological advancement and operational efficiency, suggesting potential future AI integration.","CECO Environmental Corp.'s 10-K filing provides no explicit or implicit indication of the company's engagement with Artificial Intelligence in its strategy, operations, risk factors, or talent development. The only related mention is the CEO's past experience with a 'predictive analytic technologies' company, which is not tied to CECO's current business.","CECO Environmental Corp demonstrates a strong commitment to environmental solutions and operational excellence, but lacks explicit references to AI strategies or investments, indicating a cautious approach towards AI adoption.",B,C,C,B,C,C,C,C,C,E,E,E,D,D,C
0000003197,CECO,CECO ENVIRONMENTAL CORP,Industrials,2023,2024-03-05,10-K,E,E,E,C,E,C,D,D,D,"artificial intelligence, machine learning, data analytics","data analytics, artificial intelligence, machine learning",,"CECO Environmental Corp shows no explicit AI strategy or adoption in its 10-K filing.  While there's mention of technological advancements and the need to be responsive to changes in customer requirements, including data analytics, there is no specific discussion of AI initiatives, investments, or risks related to AI adoption.","CECO Environmental Corp. currently views AI primarily as a competitive risk, acknowledging the need to be responsive to technological developments including AI and machine learning to avoid falling behind. However, the provided text offers no indication of the company's own strategic integration of AI, internal AI initiatives, or specific investments in AI talent or technology.","CECO Environmental Corp demonstrates a cautious approach towards AI, with limited explicit references to AI strategies or investments, indicating a need for further development in this area.",C,C,C,B,A,C,C,C,C,E,E,E,D,D,D
0000003453,MATX,"Matson, Inc.",Industrials,2020,2021-02-26,10-K,E,E,E,E,E,E,D,D,D,,,,"Matson, Inc. shows no explicit AI strategy or adoption in its 10-K filing.  The company focuses on operational efficiency and risk mitigation related to its shipping business, with no mention of AI initiatives or investments.","Based on the provided 10-K excerpts, Matson, Inc. does not explicitly mention Artificial Intelligence (AI) in its risk factors or management discussion and analysis, indicating a lack of disclosed engagement with AI technologies, strategies, or related risks.","Matson, Inc. demonstrates a cautious approach towards AI, with limited strategic depth and no explicit mention of AI initiatives or investments, indicating a need for improvement in AI integration and planning.",C,C,C,C,C,C,C,C,C,E,E,E,D,D,D
0000003453,MATX,"Matson, Inc.",Industrials,2021,2022-02-25,10-K,E,E,E,E,E,C,D,D,D,,,,"Matson, Inc. shows no explicit AI strategy or adoption in its 10-K filing.  The company focuses on operational efficiency and risk mitigation related to its shipping business, with no mention of AI integration or future AI plans.","Matson, Inc.'s 10-K filing does not contain any explicit mentions of Artificial Intelligence, its strategic integration, associated risks, or future plans. The company's disclosures focus on traditional operational, financial, and general IT risks without any specific reference to AI.","Matson, Inc. demonstrates a cautious approach towards AI, with limited explicit strategies or investments in AI technologies, while acknowledging the importance of technology in their operations.",C,C,C,C,C,C,C,C,C,E,E,E,D,D,D
0000003453,MATX,"Matson, Inc.",Industrials,2022,2023-02-24,10-K,E,E,E,E,E,C,D,D,D,,,,"Matson, Inc. shows no explicit AI strategy or adoption in its 10-K filing.  The company focuses on operational efficiency and risk mitigation, with no mention of AI talent acquisition or investment.","Based on the provided excerpts, Matson, Inc. does not disclose any engagement with Artificial Intelligence, either in its strategic plans, operational initiatives, or risk factors. The company's disclosures focus on traditional industry-specific, operational, and financial risks.","Matson, Inc. demonstrates a cautious approach towards AI, with limited explicit strategies or investments in AI technologies, while facing significant operational risks and external pressures that may impact its future AI initiatives.",C,C,C,C,C,C,C,C,C,E,E,E,D,D,D
0000003453,MATX,"Matson, Inc.",Industrials,2023,2024-02-23,10-K,E,E,E,E,E,C,D,D,D,,,,"Matson, Inc. shows no explicit AI strategy or adoption in its 10-K filing.  The company focuses on operational efficiency and sustainability, with significant investments in LNG-powered vessels, but there is no mention of AI's role in these initiatives.","Matson, Inc.'s 10-K filing contains no explicit or implicit mentions of Artificial Intelligence, its strategic integration, associated risks, or future plans. The company's disclosures focus entirely on traditional operational, financial, and environmental risks pertinent to the maritime transportation industry, indicating a complete absence of AI-related discussion.","Matson, Inc. demonstrates a cautious approach towards AI, with limited explicit strategies or investments in AI technologies, reflecting a need for further development in this area.",C,C,C,C,C,C,C,C,C,E,E,E,D,D,D
0000003499,ALX,ALEXANDERS INC,Real Estate,2020,2021-02-16,10-K,E,E,E,E,E,E,D,D,D,,,,"Alexander's Inc. shows no explicit AI strategy or adoption in its 10-K filing.  The company's focus remains on traditional real estate operations and risk management, with no mention of AI initiatives, investments, or future plans.","Alexanders Inc.'s 10-K filing contains no explicit mentions of Artificial Intelligence (AI) in its strategic discussions, risk factors, or future plans. The company's disclosures are entirely focused on traditional real estate operations, market conditions, and financial risks, indicating no current engagement with or strategic consideration of AI.","The company shows limited engagement with AI, primarily focusing on traditional real estate management and operations without significant mention of AI strategies or investments.",C,C,C,C,C,C,C,C,C,E,E,E,D,D,D
0000003499,ALX,ALEXANDERS INC,Real Estate,2021,2022-02-14,10-K,E,E,E,E,E,E,D,D,D,,,,"Alexander's Inc. shows no explicit AI strategy or adoption in its 10-K filing.  The company's focus remains on traditional real estate operations and risk management, with no mention of AI initiatives, investments, or talent acquisition.","Alexanders Inc. demonstrates no explicit engagement with Artificial Intelligence in its strategic planning, operations, or risk disclosures. The company's focus remains on traditional real estate market dynamics, with only implicit acknowledgment of broader 'technological change' impacting the retail environment, which could indirectly relate to AI-driven competition.","The company shows limited engagement with AI, primarily focusing on traditional real estate risks and operations without a clear strategy or mention of AI initiatives.",C,C,C,C,B,C,C,C,C,E,E,E,D,D,D
0000003499,ALX,ALEXANDERS INC,Real Estate,2022,2023-02-13,10-K,E,E,E,E,E,E,D,D,D,,,,"Alexander's Inc. shows no explicit AI strategy or adoption in its 10-K filing.  The company's focus remains on traditional real estate operations and risk management, with no mention of AI initiatives, investments, or talent acquisition.","Alexanders Inc., a real estate investment trust, demonstrates no explicit engagement with Artificial Intelligence in its disclosures. The company's focus remains on traditional real estate operations and risks, with only general mentions of technological change and sophisticated cyber threats that could implicitly involve AI, but without any direct strategic or operational AI integration.","The company shows limited engagement with AI, primarily focusing on traditional real estate risks and operations without a clear strategy or mention of AI initiatives.",C,B,C,C,B,C,C,C,C,E,E,E,D,D,D
0000003499,ALX,ALEXANDERS INC,Real Estate,2023,2024-02-12,10-K,E,E,E,E,E,E,D,D,D,,,,"Alexander's Inc. shows no explicit mention of AI strategy or adoption in its 10-K filing.  The company's focus remains on traditional real estate operations and risk management, with no evidence of AI integration or future AI plans.","Based on the provided 10-K excerpts, Alexanders Inc. exhibits no discernible engagement with Artificial Intelligence. The document focuses exclusively on traditional real estate operations, financial performance, and associated market risks, with no mention of AI strategy, adoption, risks, or future plans.","Alexander's Inc. shows limited engagement with AI, primarily focusing on traditional real estate operations without significant mention of AI strategies or investments.",C,C,C,C,C,C,C,C,C,E,E,E,D,D,D
0000004281,HWM,Howmet Aerospace Inc.,Industrials,2020,2021-02-16,10-K,E,E,E,E,E,C,D,D,D,,,,"Howmet Aerospace Inc. shows no explicit AI strategy or adoption in its 10-K filing.  The company focuses on operational efficiency and risk mitigation related to manufacturing, supply chain, and cybersecurity, with no mention of AI integration in these areas.","Howmet Aerospace Inc.'s 10-K filing does not explicitly mention Artificial Intelligence, machine learning, or related specific technologies. The company acknowledges general technological advancements and the risk of competitors leveraging new technologies, but its own engagement with AI is not disclosed, suggesting a nascent or undisclosed AI posture.","Howmet Aerospace Inc. demonstrates a cautious approach towards AI, with limited explicit strategies or investments in AI technologies, while facing significant risks from external factors and market volatility.",B,C,B,B,B,C,C,C,C,E,E,E,D,D,D
0000004281,HWM,Howmet Aerospace Inc.,Industrials,2021,2022-02-14,10-K,E,E,E,E,E,C,D,D,D,,,,"Howmet Aerospace Inc. shows no explicit mention of AI strategy or adoption in its 10-K filing.  The company focuses on operational efficiency and cost reduction, with no discernible AI-related initiatives or investments mentioned.","Howmet Aerospace Inc.'s 10-K filing does not explicitly mention Artificial Intelligence in any strategic, operational, or risk-related context. The company discusses general technological advancements and competitive pressures, but without specific reference to AI, indicating a lack of explicit disclosure regarding AI preparedness.","Howmet Aerospace Inc. demonstrates a cautious approach towards AI, with limited explicit strategies or investments in AI technologies, while facing significant operational challenges due to external factors like the COVID-19 pandemic.",B,C,C,B,B,C,C,C,C,E,E,E,D,D,D
0000004281,HWM,Howmet Aerospace Inc.,Industrials,2022,2023-02-14,10-K,E,E,E,C,E,C,D,D,D,,,,"Howmet Aerospace Inc. shows no explicit AI strategy or adoption in its 10-K filing.  While there's mention of technology investments and the need for skilled personnel, there is no specific discussion of AI talent acquisition or AI-related risks.","Howmet Aerospace Inc.'s disclosures do not explicitly mention Artificial Intelligence (AI) in its strategic planning, operations, or future investments. The company acknowledges general technological advancements as a competitive factor and sophisticated cyberattacks as a risk, but without specific reference to AI, its engagement with this technology appears to be either nascent or not deemed material enough for explicit disclosure.","Howmet Aerospace Inc. demonstrates a cautious approach towards AI, with limited explicit strategies or investments in AI technologies, while acknowledging the importance of innovation and technology in maintaining competitiveness.",B,B,C,B,B,C,C,C,C,E,E,E,B,D,C
0000004281,HWM,Howmet Aerospace Inc.,Industrials,2023,2024-02-13,10-K,E,E,E,C,E,C,D,D,D,,,,"Howmet Aerospace Inc. shows no explicit AI strategy or adoption in its 10-K filing.  While there's mention of technology investments and modernization, no specific AI initiatives or risks related to AI are discussed.","Howmet Aerospace Inc.'s 10-K filing does not explicitly mention Artificial Intelligence (AI) or related specific terms. The company discusses general technology initiatives, automation projects, and cybersecurity risks, indicating a focus on broader technological advancements and operational efficiency rather than specific AI engagement or strategy.","Howmet Aerospace Inc. demonstrates a cautious approach towards AI, with limited explicit strategies or investments in AI technologies, while acknowledging the importance of innovation and operational efficiency.",B,C,C,C,C,C,C,C,C,E,E,E,C,D,D
0000004904,AEP,AMERICAN ELECTRIC POWER CO INC,Utilities,2020,2021-02-25,10-K,E,E,E,E,E,C,D,D,D,,,,"American Electric Power's 10-K filing reveals no explicit AI strategy or initiatives.  The document focuses heavily on regulatory compliance, infrastructure investments, and risk management related to traditional energy sources, with no mention of AI talent acquisition or investment.","Based on the provided 10-K excerpt, American Electric Power Co Inc's disclosures do not contain any explicit mentions of Artificial Intelligence, its strategic integration, associated risks, or future plans. The company's reporting is entirely focused on traditional utility industry risks and operational aspects, indicating no public emphasis on AI in this filing.","American Electric Power Co Inc shows limited engagement with AI, primarily focusing on regulatory and operational risks without specific mention of AI strategies or investments.",C,C,C,C,C,C,C,C,C,E,E,E,D,D,D
0000004904,AEP,AMERICAN ELECTRIC POWER CO INC,Utilities,2021,2022-02-24,10-K,E,E,E,E,E,C,D,D,D,,,,"American Electric Power's 10-K filing reveals no explicit AI strategy or initiatives.  The document focuses heavily on regulatory compliance, risk management related to traditional energy infrastructure, and operational challenges, with no mention of AI adoption or future plans.","AMERICAN ELECTRIC POWER CO INC's disclosures do not explicitly mention Artificial Intelligence, machine learning, or related advanced technologies. The company acknowledges general risks from technological changes and cybersecurity threats, but these are not specifically linked to AI, indicating a low level of explicit AI preparedness or strategic focus in the provided text.","American Electric Power Co Inc shows limited engagement with AI, primarily focusing on regulatory and operational risks without specific mention of AI strategies or investments.",C,C,C,C,B,C,C,C,C,E,E,E,D,D,D
0000004904,AEP,AMERICAN ELECTRIC POWER CO INC,Utilities,2022,2023-02-23,10-K,E,E,E,E,E,C,D,D,D,,,,"American Electric Power's 10-K filing reveals no explicit AI strategy or initiatives.  The document focuses heavily on regulatory compliance, infrastructure investment, and risk management related to traditional energy sources, with no mention of AI talent acquisition or investment.","The company's 10-K filing does not contain any explicit mentions of Artificial Intelligence (AI) in its risk factors or management discussion and analysis. Its disclosures focus on traditional utility industry risks and general technological advancements related to energy generation and consumption, indicating no current strategic focus or disclosed engagement with AI.","American Electric Power Co Inc shows limited engagement with AI, primarily focusing on regulatory and operational risks without specific mention of AI strategies or investments.",C,C,C,C,C,C,C,C,C,E,E,E,D,D,D
0000004904,AEP,AMERICAN ELECTRIC POWER CO INC,Utilities,2023,2024-02-26,10-K,E,E,E,E,E,C,D,D,D,,,,"American Electric Power's 10-K filing reveals no explicit AI strategy or initiatives.  The document focuses heavily on traditional energy infrastructure, regulatory risks, and climate change adaptation, with no mention of AI talent acquisition or investment.","AMERICAN ELECTRIC POWER CO INC's 10-K filing does not contain any explicit mentions of Artificial Intelligence (AI) or related technologies. The company's disclosures focus on general technology risks, cybersecurity, and the adoption of energy-specific technologies, indicating no current strategic focus or explicit risk assessment related to AI.","AEP demonstrates a cautious approach towards AI and technology integration, with significant regulatory and operational risks impacting its strategic initiatives. The company lacks explicit AI strategies or investments, indicating a need for more proactive engagement in AI advancements.",C,C,C,C,C,C,C,C,C,E,E,E,D,D,D
0000006281,ADI,ANALOG DEVICES INC,Information Technology,2020,2020-11-24,10-K,E,E,E,E,E,C,D,D,D,,,,"Analog Devices' 10-K filing reveals no explicit AI strategy or initiatives.  The document focuses primarily on the company's merger with Maxim Integrated Products and operational challenges, with no mention of AI talent acquisition or investment.","Analog Devices Inc.'s 10-K filing does not explicitly mention Artificial Intelligence, machine learning, or related technologies in its risk factors or MD&A. While the company acknowledges the importance of innovation and competitive technological advancements, there is no specific disclosure regarding its own AI strategy, adoption, risks, or talent focus, indicating a lack of explicit AI preparedness discussion in this document.","Analog Devices Inc demonstrates a cautious approach towards AI, with limited explicit strategic depth or forward-looking statements regarding AI initiatives, while acknowledging the importance of innovation and R&D.",C,C,C,C,B,C,C,C,C,E,E,E,D,D,D
0000006281,ADI,ANALOG DEVICES INC,Information Technology,2021,2021-12-03,10-K,E,E,E,C,E,D,D,D,D,,,,"Analog Devices' 10-K filing reveals no explicit AI strategy or initiatives.  While there's mention of technological innovation and R&D investments, these are not specifically linked to AI, and the document focuses primarily on operational and financial matters.","Analog Devices Inc.'s 10-K filing does not explicitly mention Artificial Intelligence as part of its strategy, operations, or specific risk factors. The document focuses on general semiconductor business challenges, financial performance, and the integration of a recent acquisition, indicating AI is not a disclosed area of focus in this report.","Analog Devices Inc demonstrates a cautious approach towards AI integration, with significant focus on operational challenges and risks associated with their recent acquisition, while lacking explicit strategic depth or forward-looking statements regarding AI.",C,C,C,C,C,C,C,C,C,E,E,E,D,D,C
0000006281,ADI,ANALOG DEVICES INC,Information Technology,2022,2022-11-22,10-K,E,E,E,C,E,C,D,D,D,,,,"Analog Devices' 10-K filing reveals no explicit AI strategy or initiatives, focusing instead on general technological innovation and risk mitigation related to global economic and geopolitical factors.  While there's mention of talent acquisition and R&D, no specific AI-related investments or plans are detailed.","The company's 10-K filing does not explicitly mention Artificial Intelligence or related technologies in its strategic discussions, risk factors, or future plans. While it acknowledges general risks related to rapid technological changes and competition, there is no indication of specific AI engagement, preparedness, or associated risks/opportunities.","Analog Devices Inc demonstrates a cautious approach towards AI, with limited explicit strategic depth or forward-looking statements regarding AI initiatives, while acknowledging the importance of innovation and R&D in their operations.",C,C,C,B,B,C,C,C,C,E,E,D,B,D,D
0000006281,ADI,ANALOG DEVICES INC,Information Technology,2023,2023-11-21,10-K,E,A,C,C,B,D,C,B,B,"artificial intelligence, software","artificial intelligence, AI",artificial intelligence,"Analog Devices' 10-K filing reveals a cautious approach to AI, with mentions of AI in product development and risk factors, but lacking detailed strategic plans or specific AI initiatives.  The company highlights the importance of innovation and new product development, which may incorporate AI, but doesn't provide concrete details on AI investments or talent acquisition.","Analog Devices Inc. views Artificial Intelligence as a key component for future product innovation and system-level solutions, indicating a strategic integration into its offerings. While acknowledging general risks associated with AI-enabled products, the company does not explicitly detail specific AI-related talent acquisition or dedicated investment initiatives.","Analog Devices Inc demonstrates a cautious approach towards AI, acknowledging its importance in product development while facing significant external risks and uncertainties that may impact its AI strategy.",C,C,B,B,B,C,B,B,B,C,B,B,B,D,C
0000006845,APOG,"APOGEE ENTERPRISES, INC.",Industrials,2020,2021-04-22,10-K,E,E,E,E,E,E,D,D,D,,,,"Apogee Enterprises shows no explicit AI strategy or adoption in its 10-K filing.  The company's focus is on operational efficiency and navigating market challenges, with no mention of AI initiatives or investments.","APOGEE ENTERPRISES, INC.'s 10-K filing provides no indication of the company's engagement with Artificial Intelligence, neither in its strategic initiatives, operational discussions, nor risk disclosures. The document focuses on traditional industry and macroeconomic factors, suggesting AI is not currently a material aspect of its reported business operations or future outlook.","Apogee Enterprises, Inc. demonstrates a cautious approach towards AI, with limited strategic depth and no explicit mention of AI initiatives or investments, indicating a need for improvement in their AI engagement.",C,C,C,C,C,C,C,C,C,E,E,E,D,D,D
0000006845,APOG,"APOGEE ENTERPRISES, INC.",Industrials,2021,2022-04-22,10-K,E,E,E,E,E,C,D,D,D,,,,"Apogee Enterprises shows no explicit AI strategy or adoption in its 10-K filing.  The company focuses on operational efficiency and risk mitigation, with no mention of AI talent acquisition or investment.","Based on the provided 10-K excerpts, Apogee Enterprises, Inc. does not explicitly mention Artificial Intelligence, machine learning, or related advanced technologies in its strategic discussions, risk factors, or future plans. The disclosures focus on traditional operational, market, and financial aspects, indicating no current public engagement or strategic focus on AI.","Apogee Enterprises, Inc. demonstrates a cautious approach towards AI, with limited strategic depth and no explicit mention of AI initiatives or investments, indicating a need for improvement in their AI engagement.",C,C,C,C,C,C,C,C,C,E,E,E,D,D,D
